ID,Name,Subtitle (Specs),Category,Current Price (SEK),Regular Price (SEK),Discount (SEK),Rating,Review Count,Web Stock,Supplier Stock,Store Stock,Total Stock,Is Available,Date Scraped,VRAM (GB),Manufacturer,PCI Gen,Clock Speed (MHz),AIB,GPU Model,AIB Tier
236432,ASUS GeForce GT 730 2GB Silent Low Profile,NVIDIA Geforce / PCI Express 2.0 / 902 MHz,Datorkomponenter/Grafikkort GPU/GeForce GT GTX,999.0,999.0,0.0,5.0,4.0,0,0,0,0,False,2026-02-22,2.0,NVIDIA Geforce,PCI Express 2.0,902.0,ASUS,GT 730 2GB,Value
269621,ASUS GeForce GT 1030 Silent 2GB,NVIDIA Geforce / PCI Express 3.0 / 2 GB / 1266 MHz,Datorkomponenter/Grafikkort GPU/GeForce GT GTX,1249.0,1249.0,0.0,4.9,10.0,18,0,8,26,True,2026-02-22,2.0,NVIDIA Geforce,PCI Express 3.0,1266.0,ASUS,GT 1030 2GB,Value
281865,ASUS GeForce GT 1030 2GB,NVIDIA Geforce / PCI Express 3.0 / 2 GB / 1266 MHz,Datorkomponenter/Grafikkort GPU/GeForce GT GTX,1249.0,1249.0,0.0,5.0,2.0,0,0,0,0,False,2026-02-22,2.0,NVIDIA Geforce,PCI Express 3.0,1266.0,ASUS,GT 1030 2GB,Value
371830,ASRock Intel Arc A310 Low Profile 4GB,Intel Arc / Intel / PCI Express 4.0 x8 / 4 GB / 2000 MHz,Datorkomponenter/Grafikkort GPU/Intel Arc,1499.0,1499.0,0.0,5.0,2.0,0,0,0,0,False,2026-02-22,4.0,Intel Arc,PCI Express 4.0,2000.0,ASRock,Arc A310 4GB,Value
377618,Sparkle Intel Arc A310 Omni View 4GB,Intel Arc / Intel / PCI Express 4.0 x8 / 4 GB,Datorkomponenter/Grafikkort GPU/Intel Arc,1549.0,1549.0,0.0,,,6,0,0,6,True,2026-02-22,4.0,Intel Arc,PCI Express 4.0,,Sparkle,Arc A310 4GB,Uncategorized
365398,ASRock Intel Arc A380 6GB Challenger ITX OC,Intel Arc / Intel / PCI Express 4.0 x8 / 6 GB / 2250 MHz,Datorkomponenter/Grafikkort GPU/Intel Arc,1829.0,1829.0,0.0,4.8,5.0,0,0,0,0,False,2026-02-22,6.0,Intel Arc,PCI Express 4.0,2250.0,ASRock,Arc A380 6GB,Value
369000,ASUS Dual GeForce RTX 3050 6GB OC,NVIDIA Geforce / PCI Express 4.0 / 6 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,2181.0,2181.0,0.0,4.6,8.0,4,0,23,27,True,2026-02-22,6.0,NVIDIA Geforce,PCI Express 4.0,,ASUS,RTX 3050 6GB,Value
366030,ASRock Intel Arc A580 8GB Challenger,Intel Arc / Intel / PCI Express 4.0 x16 / 8 GB / 2000 MHz,Datorkomponenter/Grafikkort GPU/Intel Arc,2299.0,2299.0,0.0,5.0,1.0,1,0,1,2,True,2026-02-22,8.0,Intel Arc,PCI Express 4.0,2000.0,ASRock,Arc A580 8GB,Value
392274,Gigabyte Geforce RTX 3050 WINDFORCE V2 OC 6GB,NVIDIA Geforce / PCI Express 4.0 / 6 GB / 1477 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,2429.0,2429.0,0.0,,,51,0,28,79,True,2026-02-22,6.0,NVIDIA Geforce,PCI Express 4.0,1477.0,Gigabyte,RTX 3050 6GB,Value
371754,ASRock Radeon RX 6600 Challenger D 8GB,AMD Radeon / PCI Express 4.0 / 8 GB / 1626 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,2499.0,2499.0,0.0,,,0,0,0,0,False,2026-02-22,8.0,AMD Radeon,PCI Express 4.0,1626.0,ASRock,RX 6600 8GB,Value
377040,Intel Arc B580 12GB Limited Edition,Intel Arc / Intel / PCI Express 4.0 x8 / 12 GB / 2670 MHz,Datorkomponenter/Grafikkort GPU/Intel Arc,2799.0,2799.0,0.0,4.8,13.0,40,0,15,55,True,2026-02-22,12.0,Intel Arc,PCI Express 4.0,2670.0,Intel,Arc B580 12GB,Uncategorized
387621,ASUS Dual GeForce RTX 5050 8GB OC,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,2799.0,3190.0,391.0,5.0,1.0,46,0,22,68,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5050 8GB,Value
392799,Gigabyte GeForce RTX 5050 WINDFORCE OC 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB / 2587 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,2799.0,2799.0,0.0,,,20,0,10,30,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,2587.0,Gigabyte,RTX 5050 8GB,Value
371160,Sparkle Intel Arc A580 ORC OC 8GB,Intel Arc / Intel / PCI Express 4.0 x16 / 8 GB,Datorkomponenter/Grafikkort GPU/Intel Arc,2799.0,2799.0,0.0,,,2,0,3,5,True,2026-02-22,8.0,Intel Arc,PCI Express 4.0,,Sparkle,Arc A580 8GB,Value
377617,Sparkle Intel Arc B570 GUARDIAN Luna 10GB OC,Intel Arc / Intel / PCI Express 4.0 x16 (x8 mode) / 10 GB,Datorkomponenter/Grafikkort GPU/Intel Arc,2899.0,2899.0,0.0,4.0,3.0,1,0,0,1,True,2026-02-22,10.0,Intel Arc,PCI Express 4.0,,Sparkle,Arc B570 10GB,Performance
377180,Sparkle Intel Arc B570 GUARDIAN OC 10GB,Intel Arc / Intel / PCI Express 4.0 x16 (x8 mode) / 10 GB,Datorkomponenter/Grafikkort GPU/Intel Arc,3217.0,3217.0,0.0,4.0,3.0,2,0,4,6,True,2026-02-22,10.0,Intel Arc,PCI Express 4.0,,Sparkle,Arc B570 10GB,Performance
377616,Sparkle Intel Arc B580 GUARDIAN 12GB,Intel Arc / Intel / PCI Express 4.0 x8 / 12 GB,Datorkomponenter/Grafikkort GPU/Intel Arc,3347.0,3347.0,0.0,4.0,1.0,7,0,0,7,True,2026-02-22,12.0,Intel Arc,PCI Express 4.0,,Sparkle,Arc B580 12GB,Performance
377161,ASRock Intel Arc B570 Challenger 10GB OC,Intel Arc / Intel / PCI Express 4.0 x8 / 10 GB / 2600 MHz,Datorkomponenter/Grafikkort GPU/Intel Arc,3390.0,3390.0,0.0,,,3,0,5,8,True,2026-02-22,10.0,Intel Arc,PCI Express 4.0,2600.0,ASRock,Arc B570 10GB,Value
377038,ASRock Intel Arc B580 Challenger 12GB OC,Intel Arc / Intel / PCI Express 4.0 x8 / 12 GB / 2740 MHz,Datorkomponenter/Grafikkort GPU/Intel Arc,3499.0,3499.0,0.0,4.0,2.0,11,0,5,16,True,2026-02-22,12.0,Intel Arc,PCI Express 4.0,2740.0,ASRock,Arc B580 12GB,Value
371753,ASRock Radeon RX 7600 Challenger 8GB OC,AMD Radeon / PCI Express 4.0 x8 / 8 GB / 1770 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,3499.0,3499.0,0.0,5.0,1.0,0,0,0,0,False,2026-02-22,8.0,AMD Radeon,PCI Express 4.0,1770.0,ASRock,RX 7600 8GB,Value
377037,ASRock Intel Arc B580 Steel Legend 12GB OC,Intel Arc / Intel / PCI Express 4.0 x8 / 12 GB / 2800 MHz,Datorkomponenter/Grafikkort GPU/Intel Arc,3499.0,3499.0,0.0,5.0,6.0,0,0,0,0,False,2026-02-22,12.0,Intel Arc,PCI Express 4.0,2800.0,ASRock,Arc B580 12GB,Performance
389969,Gigabyte GeForce RTX 5060 WINDFORCE OC 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB / 2512 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,3590.0,3590.0,0.0,,,51,0,1,52,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,2512.0,Gigabyte,RTX 5060 8GB,Value
385266,ASUS Dual GeForce RTX 5060 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,3659.0,3659.0,0.0,,,0,0,0,0,False,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 8GB,Value
385269,ASUS Dual GeForce RTX 5060 8GB OC,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,3790.0,3790.0,0.0,5.0,2.0,49,0,7,56,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 8GB,Value
387622,ASUS PRIME GeForce RTX 5050 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,3790.0,3790.0,0.0,,,0,0,0,0,False,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5050 8GB,Value
365397,ASRock Intel Arc A770 16GB Phantom Gaming OC,Intel Arc / Intel / PCI Express 4.0 x16 / 16 GB / 2200 MHz,Datorkomponenter/Grafikkort GPU/Intel Arc,3849.0,3849.0,0.0,5.0,1.0,1,0,1,2,True,2026-02-22,16.0,Intel Arc,PCI Express 4.0,2200.0,ASRock,Arc A770 16GB,Performance
387623,ASUS PRIME GeForce RTX 5050 8GB OC,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,3890.0,3890.0,0.0,,,11,0,1,12,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5050 8GB,Value
392275,Gigabyte GeForce RTX 5060 WINDFORCE 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB / 2497 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,3899.0,3899.0,0.0,,,0,0,0,0,False,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,2497.0,Gigabyte,RTX 5060 8GB,Value
362431,MSI GeForce RTX 4060 VENTUS 2X BLACK 8GB OC,NVIDIA Geforce / PCI Express 4.0 x8 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,3990.0,3990.0,0.0,5.0,4.0,0,0,0,0,False,2026-02-22,8.0,NVIDIA Geforce,PCI Express 4.0,,MSI,RTX 4060 8GB,Value
385889,Gainward GeForce RTX 5060 Ghost 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB / 2280 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,3999.0,3999.0,0.0,5.0,1.0,1,0,1,2,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,2280.0,Gainward,RTX 5060 8GB,Value
387901,Gigabyte Radeon RX 9060 XT GAMING OC 8GB,AMD Radeon / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,4045.0,4045.0,0.0,,,23,0,5,28,True,2026-02-22,8.0,AMD Radeon,PCI Express 5.0,,Gigabyte,RX 9060 XT 8GB,Performance
387624,ASUS GeForce RTX 5060 LP BRK 8GB OC,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,4390.0,4390.0,0.0,,,5,0,0,5,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 8GB,Value
385268,ASUS PRIME GeForce RTX 5060 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,4490.0,4490.0,0.0,,,0,0,0,0,False,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 8GB,Value
387349,Gainward GeForce RTX 5060 Ti Ghost 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB / 2407 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,4590.0,4590.0,0.0,,,9,0,11,20,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,2407.0,Gainward,RTX 5060 Ti 8GB,Value
385949,ASRock Radeon RX 9060 XT Challenger 16GB,AMD Radeon / PCI Express 5.0 x16 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,4590.0,4590.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,ASRock,RX 9060 XT 16GB,Value
389057,ASUS Dual Radeon RX 9060 XT 16GB,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,4690.0,4690.0,0.0,,,7,0,10,17,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,ASUS,RX 9060 XT 16GB,Value
384745,ASUS GeForce RTX 5060TI Dual 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,4849.0,4849.0,0.0,,,8,0,1,9,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 8GB,Value
384742,ASUS GeForce RTX 5060TI Prime 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,4849.0,4849.0,0.0,,,0,0,0,0,False,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 8GB,Value
385509,ASUS Radeon RX 9060 XT 8GB Dual,AMD Radeon / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,4859.0,4859.0,0.0,,,1,0,4,5,True,2026-02-22,8.0,AMD Radeon,PCI Express 5.0,,ASUS,RX 9060 XT 8GB,Value
385267,ASUS TUF Gaming GeForce RTX 5060 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,4890.0,4890.0,0.0,,,0,0,0,0,False,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 8GB,Performance
391967,Gigabyte GeForce RTX 5060 Ti WINDFORCE MAX 8GB,NVIDIA Geforce / PCI Express 5.0 / 8 GB / 2572 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,4931.0,4931.0,0.0,,,0,0,0,0,False,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,2572.0,Gigabyte,RTX 5060 Ti 8GB,Value
385270,ASUS TUF Gaming GeForce RTX 5060 8GB OC,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,5169.0,5169.0,0.0,,,35,0,5,40,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 8GB,Performance
385510,ASUS Prime Radeon RX 9060 XT OC Edition 8GB,AMD Radeon / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,5190.0,5190.0,0.0,,,19,0,1,20,True,2026-02-22,8.0,AMD Radeon,PCI Express 5.0,,ASUS,RX 9060 XT 8GB,Value
387902,Gigabyte Radeon RX 9060 XT GAMING OC 16GB,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,5590.0,5590.0,0.0,5.0,1.0,19,0,8,27,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,Gigabyte,RX 9060 XT 16GB,Performance
384741,ASUS GeForce RTX 5060TI Dual 8GB OC,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,5590.0,5590.0,0.0,,,13,0,7,20,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 8GB,Value
391966,Gigabyte GeForce RTX 5060 Ti WINDFORCE MAX 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2587 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,5590.0,5590.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2587.0,Gigabyte,RTX 5060 Ti 16GB,Value
384689,ASUS GeForce RTX 5060TI Prime 8GB OC,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,5890.0,5890.0,0.0,5.0,1.0,18,0,6,24,True,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 8GB,Value
389967,Gigabyte GeForce RTX 5060 Ti WINDFORCE OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2587 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,6390.0,6390.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2587.0,Gigabyte,RTX 5060 Ti 16GB,Value
384744,ASUS GeForce RTX 5060TI TUF Gaming 8GB OC,NVIDIA Geforce / PCI Express 5.0 / 8 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,6390.0,6390.0,0.0,,,0,0,0,0,False,2026-02-22,8.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 8GB,Performance
365994,PowerColor Radeon RX 7700 XT Hellhound 12GB,AMD Radeon / PCI Express 4.0 x16 / 12 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,6399.0,6399.0,0.0,4.5,2.0,1,0,2,3,True,2026-02-22,12.0,AMD Radeon,PCI Express 4.0,,PowerColor,RX 7700 XT 12GB,Performance
378283,Gigabyte GeForce RTX 5070 WINDFORCE OC 12GB,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,6490.0,6490.0,0.0,5.0,3.0,51,0,22,73,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,Gigabyte,RTX 5070 12GB,Value
385508,ASUS Prime Radeon RX 9060 XT OC Edition 16GB,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,6490.0,6490.0,0.0,,,51,0,1,52,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,ASUS,RX 9060 XT 16GB,Value
385507,ASUS TUF Gaming Radeon RX 9060 XT OC Edition 16GB,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,6649.0,6649.0,0.0,4.5,2.0,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,ASUS,RX 9060 XT 16GB,Performance
382152,MSI GeForce RTX 5070 12G VENTUS 2X OC,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,6681.0,6681.0,0.0,4.5,4.0,0,0,0,0,False,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,MSI,RTX 5070 12GB,Value
391832,Gigabyte GeForce RTX 5060 Ti EAGLE OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2617 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,6690.0,6690.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2617.0,Gigabyte,RTX 5060 Ti 16GB,Value
391831,Gigabyte GeForce RTX 5060 Ti AERO OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2647 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,6790.0,6790.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2647.0,Gigabyte,RTX 5060 Ti 16GB,Performance
