ID,Name,Subtitle (Specs),Category,Current Price (SEK),Regular Price (SEK),Discount (SEK),Rating,Review Count,Web Stock,Supplier Stock,Store Stock,Total Stock,Is Available,Date Scraped,VRAM (GB),Manufacturer,PCI Gen,Clock Speed (MHz),AIB,GPU Model,AIB Tier
391833,Gigabyte GeFroce RTX 5060 Ti EAGLE ICE OC 16GB W,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2617 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,6990.0,6990.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2617.0,Gigabyte,RTX 5060 Ti 16GB,Value
391835,Gigabyte GeForce RTX 5070 WINDFORCE SFF 12GB,NVIDIA Geforce / PCI Express 5.0 / 12 GB / 2512 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,7190.0,7190.0,0.0,,,0,0,0,0,False,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,2512.0,Gigabyte,RTX 5070 12GB,Value
391830,Gigabyte GeForce RTX 5060 Ti GAMING OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2647 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,7190.0,7190.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2647.0,Gigabyte,RTX 5060 Ti 16GB,Performance
391834,Gigabyte GeForce RTX 5060 Ti AORUS ELITE 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2722 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,7390.0,7390.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2722.0,Gigabyte,RTX 5060 Ti 16GB,Halo
383860,ASUS GeForce RTX 5060TI Dual OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7490.0,7490.0,0.0,4.9,10.0,23,0,0,23,True,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 16GB,Value
383856,ASUS GeForce RTX 5060TI TUF Gaming OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7499.0,7499.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 16GB,Performance
382151,MSI GeForce RTX 5070 12G VENTUS 2X OC WHITE,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7599.0,7599.0,0.0,4.5,4.0,4,0,2,6,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,MSI,RTX 5070 12GB,Value
378393,Sapphire PULSE RX 9070 GAMING 16 GB,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2070 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,7675.0,7675.0,0.0,5.0,1.0,1,0,1,2,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2070.0,Sapphire,RX 9070 16GB,Performance
387899,Gigabyte Radeon RX 9070 GAMING 16GB,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,7699.0,7699.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,Gigabyte,RX 9070 16GB,Performance
382268,ASUS PRIME GeForce RTX 5070 12GB,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7759.0,7759.0,0.0,4.9,11.0,1,0,1,2,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Value
387373,ASUS GeForce RTX 5070 Dual 12GB,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7890.0,7890.0,0.0,,,0,0,0,0,False,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Value
383858,ASUS GeForce RTX 5060TI Dual 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2572 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,7990.0,7990.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2572.0,ASUS,RTX 5060 Ti 16GB,Value
383859,ASUS GeForce RTX 5060TI Prime OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7999.0,7999.0,0.0,4.0,1.0,5,0,3,8,True,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 16GB,Value
382269,ASUS PRIME GeForce RTX 5070 12GB OC,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,8490.0,8490.0,0.0,4.9,11.0,11,0,1,12,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Value
387371,Asus Dual GeForce RTX 5070 OC,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,8490.0,8490.0,0.0,,,51,0,7,58,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Value
382149,MSI GeForce RTX 5070 12G GAMING TRIO OC,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,8490.0,8490.0,0.0,,,6,0,17,23,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,MSI,RTX 5070 12GB,Performance
381500,ASRock Radeon RX 9070 Challenger 16GB,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2070 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,8490.0,8490.0,0.0,4.0,1.0,5,0,22,27,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2070.0,ASRock,RX 9070 16GB,Value
377915,Gigabyte Radeon RX 9070 XT GAMING OC 16GB,AMD Radeon / PCI Express 5.0 / 16 GB / 2520 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,8499.0,8499.0,0.0,4.0,2.0,28,0,7,35,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2520.0,Gigabyte,RX 9070 XT 16GB,Performance
378391,Sapphire NITRO+ RX 9070 GAMING 16 GB,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2210 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,8499.0,8499.0,0.0,5.0,1.0,2,0,2,4,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2210.0,Sapphire,RX 9070 16GB,Halo
383857,ASUS GeForce RTX 5060TI TUF Gaming 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,8669.0,8669.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 16GB,Performance
381503,ASRock Radeon RX 9070 XT Steel Legend 16GB,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2400 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,8899.0,8899.0,0.0,4.8,5.0,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2400.0,ASRock,RX 9070 XT 16GB,Performance
382267,ASUS TUF Gaming GeForce RTX 5070 12GB OC,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,8990.0,8990.0,0.0,5.0,2.0,30,0,15,45,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Performance
381502,ASRock Radeon RX 9070 16GB Steel Legend OC,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2210 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,8999.0,8999.0,0.0,,,15,0,13,28,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2210.0,ASRock,RX 9070 16GB,Performance
387900,Gigabyte Radeon RX 9070 XT GAMING 16GB,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,8999.0,8999.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,Gigabyte,RX 9070 XT 16GB,Performance
389059,ASUS PRIME Radeon RX 9070 EVO 16GB OC Edition,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,9099.0,9099.0,0.0,,,20,0,0,20,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,ASUS,RX 9070 16GB,Value
377597,ASUS TUF Gaming Radeon RX 9070 16GB OC,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,9490.0,9490.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,ASUS,RX 9070 16GB,Performance
381501,ASRock Radeon RX 9070 XT Taichi 16GB OC,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2570 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,9499.0,9499.0,0.0,5.0,4.0,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2570.0,ASRock,RX 9070 XT 16GB,Halo
384256,ASUS ROG Strix GeForce RTX 5070 12GB OC,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,9990.0,9990.0,0.0,,,4,0,7,11,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Halo
384255,ASUS ROG Strix GeForce RTX 5070 12GB,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,10190.0,10190.0,0.0,,,0,0,0,0,False,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Halo
378277,Gigabyte GeForce RTX 5070 Ti WINDFORCE OC SFF 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,10490.0,10490.0,0.0,5.0,1.0,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,Gigabyte,RTX 5070 Ti 16GB,Value
378338,ASUS PRIME GeForce RTX 5070 Ti 16GB OC,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,11790.0,11790.0,0.0,4.8,11.0,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 Ti 16GB,Value
384258,ASUS ROG Strix GeForce RTX 5070 Ti 16GB OC,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,11990.0,11990.0,0.0,5.0,2.0,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 Ti 16GB,Halo
378340,ASUS TUF Gaming GeForce RTX 5070 Ti 16GB OC,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,12490.0,12490.0,0.0,5.0,9.0,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 Ti 16GB,Performance
384257,ASUS ROG Strix GeForce RTX 5070 Ti 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,12990.0,12990.0,0.0,5.0,2.0,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 Ti 16GB,Halo
378274,Gigabyte Aorus GeForce RTX 5070 Ti MASTER 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,13199.0,13199.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,Gigabyte,RTX 5070 Ti 16GB,Halo
394287,INNO3D GeForcec RTX 5080 X3 OC,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2295 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,13490.0,13490.0,0.0,,,43,0,1,44,True,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2295.0,INNO3D,RTX 5080 16GB,Value
377913,Gigabyte GeForce RTX 5080 WINDFORCE SFF OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,14990.0,14990.0,0.0,5.0,2.0,1,0,1,2,True,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,Gigabyte,RTX 5080 16GB,Value
377217,ASUS Prime GeForce RTX 5080 16GB OC,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,17490.0,17490.0,0.0,5.0,9.0,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5080 16GB,Value
377216,ASUS TUF Gaming GeForce RTX 5080 16GB OC,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,17990.0,17990.0,0.0,4.7,9.0,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5080 16GB,Performance
377807,Gigabyte GeForce RTX 5080 Aorus Master 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,18490.0,18490.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,Gigabyte,RTX 5080 16GB,Halo
389058,ASUS ProArt GeForce RTX 5080 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,18890.0,18890.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5080 16GB,Performance
389061,ASUS ProArt GeForce RTX 5080 16GB OC,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,18990.0,18990.0,0.0,,,4,0,7,11,True,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5080 16GB,Performance
377897,ASUS TUF Gaming GeForce RTX 5080 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,18990.0,18990.0,0.0,4.7,9.0,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5080 16GB,Performance
377808,Gigabyte GeForce RTX 5080 AERO OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,18990.0,18990.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,Gigabyte,RTX 5080 16GB,Performance
377215,ASUS ROG ASTRAL GeForce RTX 5080 16GB OC,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,20290.0,20290.0,0.0,4.3,6.0,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5080 16GB,Halo
389062,ASUS GeForce RTX 5080 16GB Noctua OC,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,20799.0,20799.0,0.0,,,3,0,4,7,True,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5080 16GB,Halo
377898,ASUS ROG ASTRAL GeForce RTX 5080 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,20990.0,20990.0,0.0,4.3,6.0,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5080 16GB,Halo
378335,ASUS ROG Astral GeForce RTX 5090 32GB,NVIDIA Geforce / PCI Express 5.0 / 32 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,33990.0,33990.0,0.0,4.9,11.0,0,0,0,0,False,2026-02-22,32.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5090 32GB,Halo
378272,Gigabyte GeForce RTX 5090 GAMING OC 32GB,NVIDIA Geforce / PCI Express 5.0 / 32 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,33990.0,33990.0,0.0,,,0,0,0,0,False,2026-02-22,32.0,NVIDIA Geforce,PCI Express 5.0,,Gigabyte,RTX 5090 32GB,Performance
378337,ASUS TUF Gaming GeForce RTX 5090 32GB,NVIDIA Geforce / PCI Express 5.0 / 32 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,34990.0,34990.0,0.0,4.7,6.0,1,0,1,2,True,2026-02-22,32.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5090 32GB,Performance
378273,Gigabyte GeForce RTX 5090 WINDFORCE OC 32GB,NVIDIA Geforce / PCI Express 5.0 / 32 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,34990.0,34990.0,0.0,5.0,1.0,0,0,0,0,False,2026-02-22,32.0,NVIDIA Geforce,PCI Express 5.0,,Gigabyte,RTX 5090 32GB,Value
378737,ASUS ROG Astral LC GeForce RTX 5090 GAMING 32G OC,NVIDIA Geforce / PCI Express 5.0 / 32 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,35490.0,35490.0,0.0,3.7,3.0,0,0,0,0,False,2026-02-22,32.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5090 32GB,Halo
378334,ASUS ROG Astral GeForce RTX 5090 32GB OC,NVIDIA Geforce / PCI Express 5.0 / 32 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,36990.0,36990.0,0.0,4.9,11.0,0,0,0,0,False,2026-02-22,32.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5090 32GB,Halo
394281,INNO3D GeForce RTX 5090 X3 OC,NVIDIA Geforce / PCI Express 5.0 / 32 GB / 2017 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,35990.0,35990.0,0.0,,,17,0,1,18,True,2026-02-22,32.0,NVIDIA Geforce,PCI Express 5.0,2017.0,INNO3D,RTX 5090 32GB,Value
392796,Gigabyte GeForce RTX 5090 AORUS MASTER 32GB,NVIDIA Geforce / PCI Express 5.0 / 32 GB / 2655 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,36025.0,36025.0,0.0,,,0,0,0,0,False,2026-02-22,32.0,NVIDIA Geforce,PCI Express 5.0,2655.0,Gigabyte,RTX 5090 32GB,Halo
378336,ASUS TUF Gaming GeForce RTX 5090 32GB OC,NVIDIA Geforce / PCI Express 5.0 / 32 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,36990.0,36990.0,0.0,4.7,6.0,0,0,0,0,False,2026-02-22,32.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5090 32GB,Performance
378738,ASUS ROG Astral LC GeForce RTX 5090 GAMING 32GB,NVIDIA Geforce / PCI Express 5.0 / 32 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,37990.0,37990.0,0.0,3.7,3.0,0,0,0,0,False,2026-02-22,32.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5090 32GB,Halo
